Emon Jubayer,value,Hasan Mahbub,value,Kandari Athorbo,value,MZI,value,Nir Shondhani,value,Tareque Anu,value
বিস্মিত করে বৈ কী,4,have all the graveyards,3,জানালা দিয়ে বাইরে তাকিয়ে,3,আমি সেটা বিশ্বাস করি,4,মরে লোকজন দল বেধে,2,দিন কাটাইতাম আমরা আগে,3
শব্দরূপে দেখা দেন পরে,4,কিছু এসে যায় না,3,বার দেখা হয়েছে এমন,3,সেটা বিশ্বাস করি না,4,কালো আমার কালো ওগো,2,করার লোভ সামলাতে পারলাম,3
শব্দ হতে পুনরায় ঘনীভূত,4,সিংগিং ইন দ্যা রেইন,3,তথা সম্মিলিত প্রচেষ্টায় প্রবল,3,স্কুলে কম্পিউটার ল্যাব তৈরি,4,যা বোঝার বুঝে গেলাম,2,on sport in Eastern,3
যে কারণে বলা হয়েছে,4,মকবুল আহমেদ গ্রাম মুনিবপুর,3,dark horse Are you,3,বাংলা আমি তোমায় ভালোবাসি,4,বছর পার হয়ে গেছে,2,এভাবেই দেশের প্রতিটি জনপদের,3
মওলা স্কুল খুইলাছে হই,4,আবার বড় বড় কথা,3,you ready for ready,3,করতে হয় না এই,4,জায়গার মধ্যে স্টীলমিল বাজার,2,আজও তবু কেবলই দৃশ্যের,3
ড্রুসাস দ্য ইয়াংঙ্গার এর,4,আর কে না জানে,3,আজতা আর মনে পরেনা,3,আমার সোনার বাংলা গানটি,4,কথা বলতে পারে না,2,কি দায়িত্ব নেবেন যে,3
দেহকে পক্ক করে সিদ্ধদেহ,4,বাস থেকে নামতে গিয়ে,3,শিশুদের নাগালের বাইরে রাখুন,3,সেই সমস্যার সমাধান করা,4,থেকে বেরিয়ে বড় রাস্তায়,2,নাম রাখা হয়েছে বাংলার,3
দিনে মন খারাপ হয়,4,all the graveyards gone,3,do this Cause coming,3,বিশ্ববিদ্যালয় মিলে একটা ভর্তি,4,আমার এখন ভালো লাগছে,2,কাটিয়ে দিলাম ছড়ার পেছন,3
একমাত্র শূন্য এই শূন্য,4,পিয়াল যুদ্ধাপরাধীদের বিচার চায়,3,দরজা জানালা বন্ধ করে,3,আমার সঙ্গে দেখা করতে,4,দানবাক্সের তালায় একটা মোচড়,2,বাংলা শকুন White rumped,3
মহাসুখ এবং আনন্দস্বরূপ এই,4,তা কী করে হয়,3,শেষ স্বাধীন নবাব সিরাজউদ্দৌলার,3,আমার কথা বিশ্বাস করে,4,আমার খুব পছন্দ হয়েছে,2,জীবনে প্রথম বারের মত,3
দু পা ফাঁক করে,4,যা হয় আর কী,3,টা বেজে ৩০ মিনিট,3,কল্পনাও করতে পারবে না,4,তার পরিচিত দুয়েকজন আছে,2,জাকারিয়ার বাংলাদেশের প্রাচীন কীর্তি,3
কবির কাল্ট অভ আহরিমান,4,এবং কিছু অনর্থক ব্লগরব্লগর,3,prosperity with moderation Plato,3,বাড়ি থেকে বের করে,4,গিয়েছিল বহু কষ্টে তিনটা,2,লোরেঞ্জের কিং সলোমনস রিং,3
অধিকারী হয়ে সিদ্ধি বা,4,সাথে দেখা হয়ে যায়,3,to carry their prosperity,3,তার থেকে একশ গুণ,4,তার সাতাশি বছর বয়সী,2,আমরা আগে কি সুন্দর,3
সিদ্ধি বা শিবত্ব বা,4,কিন্তু কে শোনে কার,3,became weakened and their,3,দশ হাজার কোটি নিউরন,4,দরকার ছিল এখন ফিরে,2,Bird অবশেষে সাগরের ভাসার,2
মন খারাপ হয় না,4,আমার কেন যেন মনে,3,ready for perfect storm,3,চোখে আঙুল দিয়ে দেখিয়ে,4,আমার শহর নোংরা রাখার,2,অলড্রিনের আত্নজীবনী রিটার্ন টু,2
মাহমুদুল হাসান বাংলার ইতিহাস,4,change my worldNothing gon,3,বলছেন আমি তোমাকে মোহাম্মাদ,3,আমরা যদি আমাদের দেশের,4,সমস্যাটা বুঝতে পারলো না,2,ঢাকার ঘাসের রাজ্য এদের,2
অমরত্ম লাভ করা যায়,4,বিসর্জন এবং কিছু অনর্থক,3,প্রতিবাদ করতে জানি আমরা,3,সবচেয়ে বড় কথা এই,4,এই জায়গাটা ভালো না,2,জামিল একসন্তানের জনক গোঁফ,2
বা দিব্যদেহের অধিকারী হয়ে,4,সাদার চাল কালো অবহেলা,3,সকলের প্রতি রইল আমার,3,কোনো অংশে কম নয়,4,০০০ ০০০ ডলার বছরে,2,Environment of Capital Dhaka,2
চৌ মিং থাং লুসাই,4,worldNothing gon na change,3,দোলনায় বসে দোল খাচ্ছে,3,একটি সমন্বিত ভর্তি পরীক্ষা,4,তার নিরুদ্দেশ হয়ে যেতে,2,যজ্ঞস্থলে সাক্ষাৎ ইন্দ্র তুল্য,2
সৈয়দ মাহমুদুল হাসান বাংলার,4,অত সময় ছিলো না,2,they ceased to be,3,আছে শুধু তাই নয়,4,লাশ এলো না সে,2,be to you many,2
আদি অকৃত্রিম উৎপত্তিস্থল একমাত্র,4,অপেক্ষা করতে হলো না,2,বুলিয়ে দিয়ে ঘুম পারিয়ে,3,আমি ব্যক্তিগতভাবে মনে করি,4,না হওয়া পর্যন্ত ফিরে,2,Grassbird Graminicola bengalensis সেই,2
ঠিক বোঝা গেল না,4,কন্ডাকটরের সাথে ভাড়া নিয়ে,2,and their human traits,3,করার কোনো প্রয়োজন নেই,4,যেন মাটি না পড়ে,2,Deep Blue Caribbean Sea,2
বলল আমি এখন যাই,4,বয়স বাড়ার সাথে সাথে,2,অঙ্গ বা অন্য কোন,3,বই পড়তে হবে যারা,4,উপেক্ষা করে হাঁটতে থাকলো,2,প্রাণ ভরে অনুভব করে,2
ইখতিয়ারউদ্দীন মহাম্মদ বিন বখতিয়ার,4,কাছে কি চাবুক আছে,2,অধ্যাদেশ ১৯৭৬ ধারা ৭৬,3,লীগের যুগ্ম সাধারণ সম্পাদক,4,বহু কষ্টে তিনটা দিন,2,এর চেয়ে ভাল উপহার,2
স্কুল খুইলাছে হই হই,4,আর কোন দরকার নেই,2,রাসুলদের কথা বাকিদের কথা,3,হওয়ার কথা ছিল কিন্তু,4,ছেড়ে এই জগত ছেড়ে,2,শতাব্দী তাদের খাবার জোগায়,2
বিদিত লাল দাশ এর,4,সুন্দর হতে পারবো আমি,2,দুর্যোধন ব্লগার কাল্পনিক ভালবাসার,3,আমার মনে আছে আমি,4,সেই ঘটনার পর থেকে,2,করেছে লক্ষ হাজার বছর,2
বা অমরত্ম লাভ করা,4,ছাড়তে থাকুন ধীরে ধীরে,2,ইন ব্লগের সাথে আমার,3,যখন এটা লিখছি তখন,4,পানি দেয়া ইত্যাদি কাজ,2,হাঁস Knob billed Duck,2
তন্ত্রমতে নারী জগতের আদি,4,স্টোমাক ওয়াশ করতে হবে,2,টপ করে পানি ঝরছে,3,আমার খুব ভালো লাগে,4,দুনিয়াতে দেখার কেউ নেই,2,সম্পর্কে চিন্তা ভাবনা প্রায়,2
প্রাচীন বাংলার বাঙালি যোগীগণ,4,থোরাই কেয়ার করি আমি,2,কালো রঙের সানগ্লাস পরে,3,করতে পারি না আমার,4,গেলে তাকে আরো পনেরো,2,এই খানে ৪২টি আলোকচিত্র,2
দুঃখ শোকের কারণ অপক্ক,4,সহ্য করতে না পেরে,2,বাংলা ব্লগ দিবস উদযাপনের,3,মন খারাপ করা কথা,4,গিয়ে ঘুমোয় যদি কোন,2,সুজলা সুফলা শস্য শ্যামলা,2
কৃষ্ণ দিলায় রাধার গলে,4,সময় নেই সময় নেই,2,ট্রেনের গতি ধীরে ধীরে,3,দশ হাজার কোটি নিউরনকে,4,পেটপুরে চা পরোটা ভাজি,2,খাওয়ায় আপনাদের বেজায় খাওয়া,2
দেখা দেন পরে শব্দ,4,soldiers gone Long time,2,নামক একজন বীমা কর্মকর্তা,3,বড় ভাই হুমায়ূন আহমেদ,4,আরো কিছু সময় পর,2,যদিও কারও জানা নেই,2
কি ঘর বানাইমু আমি,4,মানুষ হাসছে না মানুষ,2,হায়রে কান্দে রইয়া রইয়া,3,পারে সেটি নিজের চোখে,4,খাইছস আমার এত সাধের,2,বৃহস্পতি প্রতিকৃতি কেদার মিশ্রের,2
নাফিসের ভুরু কুঁচকে যায়,4,তৈরি করতে পারবে না,2,অপলক দৃষ্টিতে তাকিয়ে আছি,3,প্রশ্ন ফাঁস হয়ে যাবার,4,তাকে ঘরে নিয়ে মুরগীর,2,ইন্টেলিজেন্সের এক দুর্দান্ত দুঃসাহসী,2
উৎসও এই সাংখ্যদর্শন বস্তুত,4,থেকেই কেমন যেন অস্বস্তি,2,দুর্যোধন ব্লগার কাল্পনিক ভালবাসা,3,সব বিশ্ববিদ্যালয় মিলে একটা,4,এপাশ থেকে খবির বললো,2,উপরে বেরিয়ে আসছি একটু,2
চুল ছোট ছোট করে,4,সে না বুঝলে কে,2,বলছেন আমি আগে তোমাকে,3,থেকে একশ গুণ বেশি,4,কাছে থেকেও সে বেঁচে,2,জ্ঞান হবার পর থেকে,2
সুফি শাহ আরকুম আলী,4,প্রাইসের চেয়ে কম দামে,2,দিয়ে বললেন এই নাও,3,তৃতীয় পক্ষের কাছে বিক্রি,4,যা বললো তার সারমর্ম,2,একবার দেখে আবার ফিরে,2
এই সাংখ্যদর্শন বস্তুত বুদ্ধের,4,গল্পভাবনা থেকে অনুপ্রানিত হয়ে,2,ইন ব্লগের পক্ষ থেকে,3,আমার মনে হয় না,4,তিনটা দিন পার করার,2,হাতে অসংখ্য মুহূর্ত কেবল,2
উলির বিলের পাশে রহিমনপুর,4,ভাই কেমন আছেন এই,2,কর কাতান শাড়ি পরে,3,সোনার বাংলা আমি তোমায়,4,দিয়ে এক কাপ চা,2,ক্ষমতা ২০০ টান মাছ,2
সাংখ্যদর্শন বস্তুত বুদ্ধের দু,4,কী যেন একটা নেই,2,মনোয়া পাখি হায়রে কান্দে,3,বিশ্বাস হতে চায় না,4,আগেই কবরে নেমে কবর,2,পৃথিবীর পথে বটের শুকনো,2
হাড়ে তুমি কেনে পৈর,4,মারা যাচ্ছে আর তুমি,2,na play with magic,3,আমার কৃতজ্ঞতার শেষ নেই,4,আর কাউকে কিছু না,2,বসুন্ধরার চির কল্যাণকামী শ্রী,2
করে সিদ্ধদেহ বা দিব্যদেহের,4,বিনোদনের অভাব কখনই ছিলো,2,magic Boy you should,3,সবাইকে মনে করিয়ে দিতে,4,ঘুমন্ত মায়ের পাশে হামাগুড়ি,2,আসলেন কোন দুর্ঘটনা হয়েছে,2
কাজী রফিকুল হক বললেন,4,এই সিদ্ধান্তে উপনীত হয়,2,বুল অথবা বিয়ার বডি,3,খুব ভালো করে জানি,4,কেউ নেই এরকম একজনকে,2,মান রাখিয়াছে দৃশ্য আমার,2
সৃষ্টির আদি অকৃত্রিম উৎপত্তিস্থল,4,নতুন স্কুলব্যাগ নতুন জুতো,2,কোন অঙ্গ বা কোন,3,আমরা জানি না কিন্তু,4,যে তার কবরের সাথে,2,ইলিশ খিচুড়ি সাথে টাইগার,2
কে এম আবদুল আলীম,4,বিশ্বাস করে না তবে,2,তুমি আদর কর কাতান,3,বঙ্গবন্ধুকে সপরিবারে হত্যা করে,4,আমি ছাড়া আর কেউ,2,৮৯ ডিগ্রী ৪৪ মিনিট,2
wikipedia org wiki Rohingya,4,ঝন ঝন ঝনাৎ শব্দে,2,শুভ কামনা রইল ব্লগার,3,এই দেশের শিক্ষা ব্যবস্থার,4,বিস্ফোরন ঘটলো মিনসের মিনসে,2,ছিল তবুও হলুদ হতে,2
অতুলনীয় এক বর্বর সভ্যতার,4,যাবো না যাবো না,2,আগে তোমাকে নবী সাঃ,3,এখন আমরা সবাই জানি,3,পরপর তিনদিন কোন লাশ,2,শরীর পিছল কাচের গুড়ির,2
greatest medicine is the,4,উঠে পড়েন উঠে পড়েন,2,কোন নারী বা শিশুর,3,তার চাইতে বড় কথা,3,মেনে নিতে পারে না,2,ছোট চাচা যদি এতই,2
ভট্টাচার্য ধর্ম সংস্কৃতি প্রাচীন,4,আমি নেই আমি নেই,2,বলেছি কিছু নবীদের কথা,3,পরিশ্রম করতে রাজি আছে,3,টাকাও দিতে পারবো না,2,জন্ম হয় অনেক দৃশ্যের,2
গদিনশিন পীর সৈয়দ গোলামুর,4,ঈশ্বর আমার কথা শুনেছেন,2,সুরা আন নাহল ১৬,3,না আমার বড় ভাই,3,ভিক্ষা চাই না কুত্তা,2,নামগোত্রহীন রূপহীন নগণ্য জংলী,2
আনন্দস্বরূপ এই শূন্য ঘনীভূত,4,না তা কী করে,2,যৌন অঙ্গ বা অন্য,3,এক হাজার গুণ বেশি,3,এই দুনিয়া ছেড়ে এই,2,গ্রিসসম রজার চ্যাফে এবং,2
খারাপ হয় না তারাই,4,মাখনে নুনে পেঁয়াজে মৃদুআঁচে,2,ব্লগারদের উদ্যোগে শীতবস্ত্র বিতরন,3,হয়নি আমার মনে আছে,3,মা তাকে একেকদিন ব্যবস্থা,2,রাত্র প্রতি চার ঘণ্টা,2
দু জন গুরুই ছিলেন,4,শেষ হলে আমার কাছে,2,you re falling for,3,আমি সেটা জানি না,3,তাকে যেখানে খুশী নিয়ে,2,ছেলে আমি কতকগুলি জংলী,2
যোগী হৈব কর্ণে কড়ি,4,মৃদুআঁচে সবজিকুচির সুঘ্রাণ ছড়াবে,2,আমি তোমাকে মোহাম্মাদ সা,3,শুধু কমন সেন্স দিয়ে,3,হাঁটছিল যেন কোন জরুরী,2,মুখ সিরিজের বাকী লেখাগুলো,2
আমার বুক ধক করে,4,না তো কার কাছে,2,রাশির ব্লগারদের জন্য শুভ,3,কেউ কল্পনাও করতে পারবে,3,করে সে মোটামুটি ভালো,2,Blue Caribbean Sea We,2
বাবলা পাতার কষ লেগেছে,4,করে কাঁদতে থাকে সে,2,যদি আপট্রেন্ড হয় তাহলে,3,যে ছেলেটি বা মেয়েটি,3,স্বাধীনতা পত্রিকার মার্চ ১৯৭২,2,সময় ইউরোপের প্রায় সব,2
শিবত্ব বা অমরত্ম লাভ,4,অপেক্ষা করতে থাকে তারা,2,Cause once you re,3,মাথায় হাত বুলিয়ে দিয়ে,3,সাথে দেখা হয়ে গেল,2,অফ দ্য রিংগস এর,2
হযরত সুফি শাহ আরকুম,4,না তার ওপর আবার,2,হযরত সোলায়মান আঃ এর,3,না কিন্তু এই দেশের,3,মতো আনন্দ আর কিছুতে,2,বছর আগে হয়তো বা,2
গ্রামের শাহ আবদুল করিম,4,রান ফর ইয়োর লাইফ,2,মহানগরী পুলিশ অধ্যাদেশ ১৯৭৬,3,হয় নিউক্লিয়ার শক্তি কেন্দ্র,3,না আমি মনে মনে,2,হাজার বছর ধরে তাই,2
এই দেহকে পক্ক করে,4,মন দিয়ে কাজ কর,2,সামহোয়্যার ইন ব্লগের পক্ষ,3,করে কেউ জানে না,3,বিশ্বাস করার যথেষ্ট কারণ,2,খাবার জোগায় মা ধরিত্রী,2
বলে মনে হল না,4,এভাবে ভালোবাসতো তো আমি,2,একটি উন্মুক্ত স্বাধীন মত,3,এসএসসি পরীক্ষার সময় হরতাল,3,টাকা ভিক্ষা করার উপায়,2,জ্যাক লন্ডনের শ্রেষ্ঠ জীবনীগ্রন্থ,2
মেঘলা দিনে মন খারাপ,4,অন্ডকোষে কষে একটা লাথি,2,Horus and traverse millions,3,প্রতি আমার কৃতজ্ঞতার শেষ,3,মসজিদের টাকার উপর পরকালের,2,সাক্ষাৎ ইন্দ্র তুল্য শত্রু,2
রহস্য জানবার বুঝবার প্রয়াস,4,আমার পক্ষে সম্ভব না,2,থেকে বের হয়ে এসে,3,পরীক্ষায় ভালো নম্বর পেতে,3,দিস সাইট ইজ আনএভেলবল,2,তাদের খাবার জোগায় মা,2
দক্ষিণ ভারত শ্রীলঙ্কার তামিল,4,কিছু যায় আসে না,2,একটা সাইজ দেওন লাগব,3,বইয়ের মোড়ক উন্মোচন করে,3,কি কষ্ট তার ভিক্ষা,2,এবং এই সময়ে ইঞ্জিন,2
শূন্য এই শূন্য মহাসুখ,4,আমার তাবিজ অপহরণ করসে,2,স্রস্টার কোন প্রতিমা নেই,3,কেন জানি মনে হয়,3,বের করা গেল না,2,আমার প্রিয় রাজা কুমার,2
The greatest medicine is,4,কখনও কখনও কোন পরীকে,2,কাপ রক্ত পান করে,3,আমার থেকে ভালো করে,3,মলিন মুখ করে দাঁড়িয়ে,2,পাশের ডেক থেকেই শুনি,2
ভারতে মুসলিম রাজত্বের ইতিহাস,4,তার জন্যে অপেক্ষা করে,2,বৃষ্টি শুরু হয়ে যায়,3,সবাই জানি এই দেশের,3,গায়ে যেন মাটি না,2,Lush Hills of Vinales,2
পীর সৈয়দ গোলামুর রহমান,4,আমি কোথাও যাই না,2,traverse millions of years,3,কি না আমরা জানি,3,আসার পথেই মরতে গেলে,2,ইছামতী ধলেশ্বরী কত অসম্ভব,2
পরে শব্দ হতে পুনরায়,4,বেগ আরো বেড়ে গেলো,2,মিনিট ০৬ ২০১৩ মামা,3,আমরা কেন পারব না,3,দুপুরের পর জ্ঞান ফিরলো,2,কঠোর পরিশ্রম করেছি আমার,2
মর্গের দরজা খুলে একটা,4,কোন কথা হয় না,2,পি ওয়াই সেরা টেনিস,3,ক্ষমা চেয়ে নিচ্ছি আমি,3,পারলো কাজটা কতো লজ্জাজনক,2,যেন আকাশ নয় আজিকার,2
আমাদের বিস্মিত করে বৈ,4,আর্তনাদ করে ওঠে সে,2,কোন বস্ত্ত দ্বারা কোন,3,বঙ্গবন্ধু শেখ মুজিবুর রহমানের,3,চুপ করে বসে বসে,2,ways and there shall,2
কালের শিল্পীর চোখে কুকুটেনি,4,আমি ভাবতেই পারতাম না,2,সেখান থেকে চলে এলাম,3,এতো কম টাকা খরচ,3,ধুয়ে রান্নাঘরের দিকে যাবার,2,আমরা যাইনি মরে আজও,2
সিদ্ধদেহ বা দিব্যদেহের অধিকারী,4,all the people living,2,বীমা কর্মকর্তা খুন হয়েছেন,3,গাইড বই বের হতে,3,লজ্জাজনক হয়েছে সে পরিষ্কার,2,নিষ্ঠুর সুন্দর এক অন্তর,2
বৌদ্ধধর্মের মূলতত্ত্বের উৎসও এই,4,লক্ষ কোটি বছর ধরে,2,দে শোন আসমানী তাগিদ,3,বিশ্ববিদ্যালয়ে ভর্তি পরীক্ষা দিতে,3,লাইন আছে কিন্তু ওই,2,তার সনে আজিকার ছবি,2
কিছুক্ষণ চুপ করে রইলেন,4,দাম এক টাকা বেড়েছে,2,সমগ্র মানব জাতির জন্য,3,বাজি ধরে বলতে পারি,3,শত শত বছর ধরে,2,ভাইয়ের আগে ক্যাপ্টেন দৌড়ে,2
দিল্লির সম্রাট ফিরোজ শাহ,4,হাত ধরে হাঁটতে হাঁটতে,2,কাছে নবী রাসুল পাঠিয়েছি,3,আমার মনে হয় আমি,3,গেলাসটা ঠক্কাস করে মেঝেতে,2,প্রায় সাড়ে ১৯ হাজার,2
ভিতর দিয়ে সরু পথ,4,থেকে বিযুক্ত হয়ে তার,2,mine once you re,3,ভাইস মার্শাল কে খন্দকারকে,3,করা কবরের উপর লাগানো,2,মেখলা ভরণা বসুন্ধরার চির,2
হই হই গাউসুল আজম,4,রাজীব হায়দার ওরফে থাবা,2,বেলা এখনি নামিবে ঢল,3,কথা বলেন তখন আমি,3,লাগানো ফুলের চারায় পানি,2,ফেরা শুরু করবে সাধারণত,2
রণজিৎ কর সনাতনধর্ম মত,4,লিখতে না পারার কষ্ট,2,ঝুম বৃষ্টি শুরু হয়ে,3,মা তোর বদনখানি মলিন,3,না কদিন বাদে আস্তে,2,থেকে ঝরে উত্তর সাগরে,2
দেন পরে শব্দ হতে,4,করার কোন মানে হয়,2,ব্লগ লিখেছেনঃ ১১ মাস,3,সেটি এখনো আমার কাছে,3,অন্যদের সাথে সেদিন আর,2,পারে তার প্রমাণ প্রথম,2
নরেন্দ্রনাথ ভট্টাচার্য ধর্ম সংস্কৃতি,4,না জানি না কিন্তু,2,মোস্তফা মামার টং দোকানে,3,দেশের বাইরে ছিলাম তখন,3,মারা যাচ্ছে সে দুপুরের,2,কর্ণফুলী ব্রহ্মপুত্র নাফ ইছামতী,2
হয় না তারাই তো,4,বলে মনে হয় না,2,So you wan na,3,বড় বিশ্ববিদ্যালয়ের বড় বড়,3,ফুলমতীর মুখ দিয়ে এরকম,2,নিয়ে আলোচনার মূল কারণ,2
কাউকে দেখতে পেলাম না,4,পান করার কথা ছিলো,2,Are you ready for,3,তাঁর পরিবারের সবাইকে হত্যা,3,খিদেটা আবারো বজ্জাতি শুরু,2,বা অর্ডার অফ ড্রাগন,2
সম্রাট ফিরোজ শাহ তুঘলক,4,বাজে কথা বলবে না,2,মাতৃভাষা বাংলায় একটি উন্মুক্ত,3,সরকারের সঙ্গে থাকতে হবে,3,একজনকে পিতামাতাহীন করা রাগ,2,আপন উল্লাসে নীল দরিয়া,2
এই শূন্য মহাসুখ এবং,4,স্পর্শের কথা কল্পনা করে,2,them became weakened and,3,সমন্বিত ভর্তি পরীক্ষা নেওয়া,3,দুজন একা রয়ে গেছে,2,করবে সাধারণত এই কাজে,2
হয়ে প্রথমে শব্দরূপে দেখা,4,কোথাও যেতে দেবে না,2,কোটি ৫০ লাখ টাকা,3,করে দিতে হবে আমি,3,মুখ নাড়ছে কিন্তু সে,2,সৌভাগ্যক্রমে পাখিটি এখনও বাংলাদেশে,2
জন গুরুই ছিলেন সাংখ্যমতাবলম্বী,4,নিশ্চিত মৃত্যুর দিকে এগিয়ে,2,যাই হোক না কেন,3,কী না জানি না,3,মাথা কুটবে মেঝেতে এই,2,সুন্দরভাবে বেঁচে থাকার জন্যে,2
যোগরূপ অগ্নিদ্বারা এই দেহকে,4,মনে করতে পারে না,2,জন্য শুভকামনা রইল ব্লগার,3,অনুমান করতে পারি এই,3,চলে এসেছে কদমতলী রেলক্রসিংএর,2,নাফ ইছামতী ধলেশ্বরী কত,2
আর হাড়ে তুমি কেনে,4,যেতে যেতে সন্ধ্যা হয়ে,2,শরীরের যে কোন অঙ্গ,3,আমার মনে আছে আমাদের,3,কাপড়েই ঘর থেকে বেরিয়ে,2,চিরদিনই আমার ভাল লাগে,2
মাইজভান্ডারির গদিনশিন পীর সৈয়দ,4,প্রতিটি প্রশ্বাসের সাথে মনে,2,সামহোয়্যার ইন ব্লগ এবং,3,পরীক্ষায় ভালো নম্বর পাওয়ার,3,গিয়ে বসে থাকে মায়ের,2,দুষ্প্রাপ্য গ্যাজেটরটি জোগাড় করে,2
মনে বাবলা পাতার কষ,4,জীবনে এই প্রথমবারের মতো,2,শুভেচ্ছা ঈদ মোবারক ব্লগার,3,এই দেশের প্রায় সব,3,হয়েছে তার মধ্যে এমন,2,পানচিল মাস্তলের উপর দিয়ে,2
ঘনীভূত হয়ে দেবতা রূপ,4,না কী না কী,2,you like dark horse,3,একটা ছেলে বা মেয়ের,3,সে কয়েক সেকেন্ড পর,2,দিন সময় লাগে এবং,2
শূন্য ঘনীভূত হয়ে প্রথমে,4,কাছে আলো ধার চাইলে,2,ceased to be able,3,কেউ ভয় পাবে না,3,খাওয়া জুটে যায় তার,2,টাঙ্গুয়ার হাওরের প্রান্তসীমার গাছপালায়,2
উৎপত্তিস্থল একমাত্র শূন্য এই,4,না বুঝলে কে বুঝবে,2,নবী রাসুল পাঠিয়েছি সুরা,3,১৬ কোটি মানুষের দেশে,3,পর বুঝতে পারলো কাজটা,2,আছে রূপালী মাছের কন্ঠে,2
গায়ের রং ধবধবে ফরসা,4,একের পর এক পোস্ট,2,হোসেন ব্লগ লিখেছেনঃ মাস,3,অসহনীয় পরিবেশ থেকে মুক্তি,3,কথার মধ্যে কিন্তু আজ,2,ঘাস জমে গেছে বুকের,2
দিব্যদেহের অধিকারী হয়ে সিদ্ধি,4,স্কুল সবুজ ঘাসের গালিচা,2,রাসুল বানিয়ে পাঠিয়েছি সুরা,3,তাদের দায়িত্ব শেষ করে,3,বজ্রপাতে মারা যাচ্ছে সে,2,যোগ্যতার পুঙ্খানুপুঙ্খ খবর রাখি,2
ঢাকায় একটি জাদুঘরের স্থাপনের,4,চেয়ারে গা এলিয়ে দিয়ে,2,in them became weakened,3,বছর পরে হলেও আমরা,3,Khelein Hum Jee Jaan,2,না এইখানেই খাওয়ায় আপনাদের,2
হাসান বাংলার ইতিহাস ১২০৪,4,নতুন একটা গল্প পাবে,2,বিহার উড়িষ্যার শেষ স্বাধীন,3,মনে হলো কী হবে,3,কেউ মারা না যায়,2,নেট থেকে সংগ্রহ করা,2
কারণ অপক্ক দেহ যোগরূপ,4,পাওয়া যাবে কী না,2,অঙ্গ বা কোন বস্ত্ত,3,আমার কথা বিশ্বাস না,3,০০০ ডলার বছরে ৫০০০,2,ইনাম ভাই ইমারজেন্সি ডাক,2
পুনরায় ঘনীভূত হয়ে দেবতা,4,দেখেও না দেখার ভান,2,weakened and their human,3,ভাইস মার্শাল কে খন্দকারের,3,যদি কোন দিন কেউ,2,কাছে নূতন কিন্তু কি,2
হয়ে দেবতা রূপ গ্রহন,4,কালোর চাল কালো অবহেলা,2,আল্লাহ বলছেন আমি প্রত্যক,3,হুইল চেয়ারে চলাফেরা করে,3,কিরকম বিছানা দরকার হয়,2,the victim is under,2
মূলতত্ত্বের উৎসও এই সাংখ্যদর্শন,4,সিদ্ধান্তে উপনীত হয় যে,2,টাকা জরিমানা করা হয়,3,তাদের সঙ্গে কথা বলে,3,দিল অন্যদের সাথে সেদিন,2,ট্রলার লাবিবা প্রায় ৪০,2
শূন্য মহাসুখ এবং আনন্দস্বরূপ,4,সমস্যার শুরু কবে থিকা,2,নোট বই এবং কোচিং,3,সায়েন্টিস্ট হতে হয় না,3,সে পরিষ্কার দেখেছে বজ্রপাতে,2,এক অন্তর একা টানে,2
does not differ from,4,তার ল্যাবের কম্পিউটার ইঞ্জিনিয়ারদের,2,storm perfect storm Cause,3,পর সে আবার হাজির,3,ঠিক করা মাটির অবস্থা,2,দেখা মেলে মাঝে মাঝে,2
বলতেন মানুষের দুঃখ শোকের,4,কথা না বলে থাকা,2,সা সমগ্র মানব জাতির,3,যতদূর জানি আমাদের দেশের,3,করার কোন মানে হয়,2,কাঁটার ফুল যে ডালি,2
ভস্ম ঝুলি ছালা পুনরপি,4,আমার মধ্যে জাগ্রত হয়,2,প্লাস্টিক ব্যাগ ব্যবহার নিষিদ্ধ,3,রকম আছে ঠিক সে,3,পাশে বসে গিয়েছিল বহু,2,আমাদের চিরসবুজ পলিমাটির দেশটা,2
উকিলের কী এত দুঃখ,4,আপ স্টুপিড বিচ ইউ,2,চোখে কালো রঙের সানগ্লাস,3,খুব আগ্রহ নিয়ে তার,3,সবচেয়ে সোজা এদিকে রেল,2,দেখে মনে হচ্ছে যেন,2
দেবতা রূপ গ্রহন করেন,4,এক কাপ চা খেয়ে,2,কিন্তু অত্যন্ত পরিতাপের বিষয়,3,গাওয়ার জন্য জাতীয় সংগীতের,3,সন্তানকে মাঝে মাঝে না,2,যায় কিন্তু অন্যের সাথে,2
কী এক অজ্ঞাত কারণে,4,কথা বলা শেষ করে,2,মধ্যে বেশ সখ্যতা গড়ে,3,ভাইস চ্যান্সেলরকে তার অফিসে,3,মরতেও সুখ সুখ লাগছে,2,পথে দিবর দীঘি এবং,2
সোয়াচ অভ নো গ্রাউন্ডে,4,অর্গি চলবে অর্গি চলবে,2,বলছেন আমি প্রত্যক জাতির,3,জাতীয় সংগীতটি জানে না,3,যাত্রাবাড়ি পরিবহনের মালিক আবদুল,2,গ্যাজেটরটি জোগাড় করে দেবার,2
ময়ূর বেশেতে সাজুইন রাধিকা,4,তার সাথে আমার দেখা,2,দ্বারা কোন নারী বা,3,তাতে কোনো সন্দেহ নেই,3,চাচা তাকে ঘরে নিয়ে,2,death that has no,2
