 ,Emon Jubayer,Hasan Mahbub,Kandari Athorbo,MZI,Nir Shondhani,Tareque Anu
সেমাই,0,0,90,0,1,0
স্কুল,38,8,8,78,41,16
স্কুলে,32,5,23,67,59,21
স্কুলের,22,4,15,92,34,14
স্ত্রী,48,39,80,64,19,36
স্থান,21,15,57,10,21,75
স্বপ্ন,22,54,124,150,50,38
স্যার,269,70,94,46,64,33
হইল,78,8,9,0,6,4
হওয়ার,41,10,76,177,8,1
হচ্ছে,77,207,247,651,114,264
হঠাৎ,67,144,72,150,125,39
হত,106,35,48,35,5,136
হতো,1,69,110,114,101,16
হত্যা,25,19,27,115,11,20
হন,41,17,68,15,18,40
হবার,1,199,44,38,166,126
হবে,226,729,615,911,535,393
হয়,0,12,230,100,8,457
হয়ত,0,0,4,0,0,99
হয়ে,0,12,93,78,8,356
হয়েছিল,2,0,20,17,3,133
হয়েছে,0,0,49,74,2,188
হল,691,88,131,92,3,454
হলো,2,276,352,246,594,29
হাঁটতে,109,43,8,10,54,11
হাজার,91,50,96,164,109,145
হারিয়ে,26,71,56,22,39,34
হাসি,19,93,58,31,50,60
হিসেবে,73,128,306,253,83,235
হ্যাঁ,227,154,35,18,25,27
হয়ত,4,1,122,0,1,100
হয়তো,77,137,26,110,84,9
হয়তোবা,0,94,2,0,0,0
হয়নি,102,53,101,179,105,6
হয়েছিল,196,3,19,198,82,99
হয়েছিলো,0,100,40,2,1,0
হয়েছে,224,329,382,663,228,160
