Emon Jubayer,value,Hasan Mahbub,value,Kandari Athorbo,value,MZI,value,Nir Shondhani,value,Tareque Anu,value
যে কোনও,19,করে তারা,19,ব্যবহার করে,16,সঙ্গে কথা,31,বিশাল একটা,15,যায় কিন্তু,15
করে বলে,19,আমার খুব,19,সাথে দেখা,16,মাঝে মাঝে,31,সত্যি সত্যি,15,ছিল এই,15
কন্ঠে বলল,19,তুমি কি,19,প্রকাশ করা,15,এবং তার,31,আছে সে,15,যে কিনা,15
ছবি ইন্টারনেট,19,হবার কথা,19,চোখ বন্ধ,15,বিশাল একটা,31,দেখা যাবে,15,নেই কিন্তু,15
করতে পারে,19,এই মুহূর্তে,19,এমন এক,15,ব্যাপার হচ্ছে,31,বেশ কিছু,15,সারা বিশ্বের,15
কেঁপে উঠল,19,পর সে,19,নিয়ে আমার,15,হুমায়ূন আহমেদ,31,করে সেই,15,রঙ ঝলমলে,15
আপনি কি,19,হতে হবে,19,বলা হয়েছে,15,সাথে সাথে,31,না না,15,তৈরি করা,15
ওপর বসে,19,তোমার জন্যে,19,করে নিয়ে,15,দেখে আমি,31,হতে হবে,15,না তবে,15
এমন কী,19,অপেক্ষা করে,19,ব্লগারদের জন্য,15,মাঝে মাঝেই,31,করার চেষ্টা,15,কথা ছিল,15
সুলতান শামসুদ্দীন,19,অপেক্ষা করতে,19,মনে হল,15,জাফর ইকবাল,31,থেকে ফিরে,15,নাম ছিল,15
অনেক দিন,18,হয়ে যাওয়া,19,করা হবে,15,আওয়ামী লীগ,31,সাথে দেখা,15,মনে আছে,15
পর থেকে,18,যায় নি,19,যেন এই,15,তাদের কাছে,30,এক বছর,14,আস্তে আস্তে,15
ডক্টর আবিদ,18,মনে আছে,19,হয়ে গেলো,15,থেকে অনেক,30,পকেট থেকে,14,বলা হয়,15
এবং এই,18,কি না,19,বিকল্প গণমাধ্যম,15,না সেই,30,সে তো,14,করার চেষ্টা,15
দু জন,18,কথা ভেবে,19,এমন একজন,15,বুকের ভেতর,30,কিন্তু আমি,14,ধারণা করা,14
নীচে নেমে,18,দেখার জন্যে,18,মারা যান,15,তার সঙ্গে,30,সবচেয়ে বেশী,14,মুসা ইব্রাহীমের,14
বিশেষ করে,18,আসবে না,18,আমি এখন,15,আমি যে,30,কি আছে,14,কিছু না,14
সুলতান দ্বিতীয়,18,তার এই,18,কেমন করে,15,আমাদের এই,30,আমি বললাম,14,দখল করে,14
এই কারণে,18,কেন যেন,18,ব্লগার কাল্পনিক,15,এবং সেই,30,মাথার উপর,14,এবং এই,14
আহরিমান এর,18,কারো সাথে,18,জানা নেই,15,বাবা মা,30,এরকম একটা,14,না সে,14
The greatest,18,করা হয়েছে,18,বিশ্বাস করেন,15,সঙ্গে দেখা,30,কাছে গিয়ে,14,রাখা হয়েছে,14
আবিদ আলী,18,হয় আর,18,করা যাবে,15,আমরা যখন,30,ছিল কিন্তু,14,প্রিয় মুখ,14
বড় একটি,18,এমন কিছু,18,না আমার,15,দেওয়া হবে,29,আমাদের সাথে,14,বিশ্বের সবচেয়ে,14
ওই সময়ে,18,কথা বলা,18,হা হা,15,না কেন,29,করে দিয়েছে,14,সেই সময়ের,14
না সে,18,তবে তার,18,কোন কথা,15,খুব বড়,29,আছে তার,14,সবার আগে,14
বছর ধরে,18,করে ফেলে,18,ঘুম থেকে,15,আছে আমি,29,দূর থেকে,14,সেই দেশের,14
টুক টুক,18,কী আর,18,করা যেতে,15,কম বয়সী,29,পেলাম না,14,জানা নেই,14
শামসুদ্দীন ইলিয়াস,18,দরকার ছিলো,18,হয়ে এলো,15,না হলে,29,নিয়ে গেল,14,নানা কারণে,14
কী এক,18,কিন্তু সে,18,তার কোন,15,করে যাচ্ছে,29,তার আগে,14,তার উপরে,14
পড়ে গেল,18,না এখন,18,আর না,15,সবাই জানি,29,চলে যেতে,14,দরকার নেই,14
বলল এই,18,নিয়ে আমি,18,এর সাথে,15,এক সময়,29,করে একটা,14,সেই হিসেবে,14
মনে আছে,18,চলে যাবার,18,খুঁজে ফিরি,15,সে জন্য,29,কখনো কখনো,14,একটা জীবন,14
মনে করা,18,শুরু করেছে,18,বিছানায় শুয়ে,15,আমরা কি,29,না দিয়ে,14,ছিল যে,14
থেকে নেমে,18,হয় আমার,18,যাওয়ার পর,15,খুব বেশি,29,দেবার পর,14,এসে হাজির,14
মোশাররফ বললেন,18,করা যাবে,18,পাশে বসে,15,করা হয়েছিল,29,কথা বলি,14,উল্লেখ আছে,14
দরজা খুলে,17,কোন এক,18,আপনি কি,14,না তবে,29,এত সুন্দর,14,আছে কিন্তু,14
মনে করতেন,17,সে আমার,18,তার এই,14,চেষ্টা করা,29,বলা হলো,14,সম্ভব না,14
মুখের দিকে,17,ভালো না,18,আমাদের দেশের,14,অনেক কিছু,29,মনে আছে,14,তাই না,14
দেখা গেল,17,প্রকাশ করে,18,চোখের সামনে,14,কিন্তু আমরা,29,থেকে নেমে,14,দেখা হয়,14
করে এই,17,দেয়া যায়,18,গণমাধ্যম হিসেবে,14,না তখন,29,আমি আমার,14,ভেদ করে,14
মৃত্যুর পর,17,তার মনে,18,অফিস থেকে,14,কেউ কেউ,29,কি হবে,14,মনে করেন,14
আমি এখন,17,পড়ে যায়,18,এই সময়,14,সাধারণ মানুষ,28,ফোন করে,14,প্রথম মানুষ,14
ভিতরে ঢুকে,17,কি আর,18,থাকে কিন্তু,14,পরীক্ষার প্রশ্ন,28,হাত থেকে,14,কোটি কোটি,14
হল আমি,17,চাই না,18,পাওয়া যায়,14,তারা এই,28,হয়ে যাচ্ছে,14,কদিন আগে,14
গড়ে উঠেছিল,17,বাধ্য হয়ে,18,জার্মান শেফার্ড,14,রাজনৈতিক দল,28,নেই আমার,14,পারবে না,14
হয়ে আছে,17,জন্যে অপেক্ষা,18,হাতে নিয়ে,14,দেশের অনেক,28,তখন সে,14,ব্যবহার করে,14
বঙ্গে স্বূফী,17,বলতে পারে,18,আমি যে,14,মনে হয়,28,আগে কখনো,13,এই দুই,13
যাবে না,17,কিছুই না,18,এতে করে,14,বলা যায়,28,পাওয়া গেল,13,না জানা,13
ওপর একটি,17,না তোমার,18,সময় নষ্ট,14,এই মুহূর্তে,28,ভালো করে,13,চলে গেল,13
স্বূফী প্রভাব,17,না কেউ,18,করে যে,14,তরুণ প্রজন্ম,28,আমি তোমাকে,13,মূল কারণ,13
জড়িয়ে ধরে,17,এবার আর,18,করে দেয়,14,আগ্রহ নিয়ে,28,নেই আমি,13,মনে হচ্ছিল,13
সব মিলিয়ে,17,না কিছু,18,কাপ চা,14,একজন মানুষের,28,জড়িয়ে ধরে,13,বলতে পারি,13
লায়লা বলল,17,হয় সে,18,আর কেউ,14,তখন হঠাৎ,28,আমি কি,13,ডি এন,13
মাইসাং চৌধুরি,17,নেই তবে,18,ঠিক যেন,14,তাহলে আমরা,28,করতে পারবে,13,নিয়ে তার,13
চলে এলাম,17,এমন কী,18,এটি একটি,14,এই লেখাটি,28,অন্য কোন,13,পাওয়া গেল,13
শান্ত আর,17,আমার ভেতর,18,আমি এই,14,হয় এই,27,পর দিন,13,পারি না,13
শেষ করে,17,হঠাৎ করেই,18,সাথে করে,14,তখন তারা,27,হাত ধরে,13,জানা যায়,13
জানি না,17,মনে হলো,18,এখন থেকে,14,করে আমার,27,নেই কিন্তু,13,ছবি ব্লগ,13
টের পায়,17,কথা মনে,17,কালো রঙের,14,না এবং,27,দরোজা বন্ধ,13,মনের মাঝে,13
মনে হচ্ছে,17,যেতে থাকে,17,শুরু হয়,14,প্রয়োজন নেই,27,এই সময়ে,13,ছিল তার,13
আমার বাবা,16,কারা যেন,17,জড়িয়ে ধরে,14,করে আমরা,27,হবার কথা,13,সেই সময়ে,13
ওপর থেকে,16,অনুভব করে,17,পাওয়া যাবে,14,করে ফেলতে,27,না পেরে,13,যাচ্ছে না,13
কথা মনে,16,আমি কী,17,কোন প্রকার,14,আবিষ্কার করেছি,27,জামাত শিবির,13,কিছু একটা,13
তৈরি করে,16,আমি তোমাকে,17,হয়ে আসছে,14,পারে কিন্তু,27,করে দেয়,13,না হলেও,13
রমেশ শীল,16,করছে না,17,যার অর্থ,14,তার কারণ,27,জিজ্ঞেস করলাম,13,উত্তর ছিল,13
কেমন যেন,16,অন্য কোন,17,শিলা আপার,14,পর আমি,27,কাজ করতে,13,http www,13
পেলাম না,16,সময় নেই,17,লিখেছেনঃ বছর,14,করার পর,27,নেমে গেল,13,পথ ধরে,13
গন্ধ পেলাম,16,কেউ নেই,17,করেন না,14,পৃথিবীর সব,27,দিনের পর,13,এই পোস্টে,13
এর এক,16,আমি এই,17,ঈদ ভাবনা,14,থেকে শুরু,27,of the,13,করা যাবে,13
তথ্যসূত্র http,16,দেখতে পায়,17,ব্লগার মামুন,14,সেখান থেকে,27,ইচ্ছে করছে,13,অন্য ধরনের,13
চলে আসে,16,না সেই,17,হঠাৎ করেই,14,বলে আমার,27,বলে উঠলো,13,যেতে হবে,13
তার পাশে,16,থাকে তার,17,করে রাখা,14,আমার নিজের,26,অবাক হয়ে,13,থেকে ফেরার,13
